M,PS3,9,6.49,2.57,2.68,0.25,0.99,2011,6.7
M,PS3,9,5.57,2.54,1.95,0.21,0.86,2009,8.7
M,X360,9,4.96,3.41,0.99,0.09,0.46,2008,8.5
T,PS3,9,4.28,2.26,1.33,0.07,0.63,2009,8.8
M,PS2,9,4.23,1.46,0,0.83,1.93,2004,8
M,X360,9,3.97,2.67,0.88,0.05,0.38,2009,8.2
E,PS2,9,3.64,2.08,1.09,0.15,0.33,2001,8.9
E,PS3,9,3.63,0.6,2.46,0.05,0.52,2009,7.3
E,PS4,9,3.52,2.28,0.59,0.03,0.63,2016,6.3
M,X360,9,3.48,2.11,1.01,0.04,0.33,2010,8.3
M,X360,9,2.6,1.08,1.22,0.03,0.27,2009,8
E,PS3,9,2.55,0.43,1.68,0.05,0.38,2015,4.4
E,PS4,8.9,10.94,1.26,7.95,0.12,1.61,2016,5.1
T,PS,8.9,4.63,2.29,1.97,0.13,0.24,1996,8.3
E,PS2,8.9,3.17,2.06,0.56,0.38,0.17,2001,8.4
M,PS3,8.9,2.96,1.33,1.11,0.08,0.44,2010,8.4
E10,PS3,8.9,2.81,1.05,1.24,0.03,0.49,2010,7.5
M,PC,8.9,2.76,0.89,1.44,,0.43,2011,7.7
E,PS3,8.9,2.63,1.74,0.46,0.05,0.39,2012,8.1
E,X360,8.9,2.62,0.6,1.79,0.01,0.23,2009,7.3
E10,PS3,8.9,2.57,0.93,1.1,0.08,0.45,2007,8.6
M,PS3,8.9,2.51,0.6,1.45,0.08,0.38,2013,8.3
M,X360,8.8,14.74,9.76,3.73,0.11,1.14,2010,6.9
M,PS3,8.8,13.35,5.54,5.78,0.49,1.54,2011,3.4
M,PSP,8.8,7.72,2.9,2.83,0.24,1.74,2005,8.2
M,PS3,8.8,6.5,2.65,2.61,0.16,1.08,2012,6.9
T,PS4,8.8,4.54,1.84,1.8,0.17,0.73,2016,6.4
E,PS2,8.8,4.39,0.1,2.39,1.05,0.86,2007,8.5
M,PS3,8.8,4.23,1.41,2.03,0.1,0.69,2011,7.6
M,PS3,8.8,4,2.18,1.15,0.07,0.61,2008,8.5
E,XOne,8.8,3.71,1.04,2.4,,0.27,2016,5.5
M,PS3,8.8,3.06,1.29,1.24,0.06,0.48,2010,8.5
E,PSP,8.8,2.61,0.65,1.27,0.01,0.68,2009,7.8
M,X360,8.7,14.82,9.07,4.29,0.13,1.33,2011,3.6
M,PS3,8.7,12.67,6.01,4.4,0.48,1.78,2010,7
M,X360,8.7,6.35,4.34,1.34,0.06,0.61,2009,7.9
E,PS3,8.7,5.08,0.61,3.28,0.06,1.12,2010,8.1
E,PS,8.7,5,3.36,1.36,0.07,0.21,1998,8.6
T,PS3,8.7,4.97,2.32,1.73,0.12,0.8,2007,7.8
T,X360,8.7,4.53,3.19,0.91,0.01,0.42,2007,8.4
T,PS2,8.7,4.05,1.68,1.51,0.51,0.35,2000,8.4
E10,PS4,8.7,3.98,2.56,0.66,0.05,0.71,2015,6.7
M,PS3,8.7,3.94,1.34,1.86,0.13,0.62,2013,8.2
T,PS2,8.7,3.9,2.29,1.17,0.01,0.42,2003,8.7
M,PS3,8.7,3.64,1.31,1.5,0.27,0.55,2013,6
M,X360,8.7,3.54,2.16,1.05,0.02,0.32,2013,5.8
E,X360,8.7,3.52,0.71,2.39,0.02,0.4,2010,7.5
E,PS,8.7,3.52,2.14,1.21,0.01,0.17,1999,9.1
M,X360,8.7,3.52,2.66,0.49,0.05,0.31,2008,7.9
T,PS,8.7,3.2,1.76,1.21,0.07,0.16,2000,8.3
T,PS3,8.7,2.99,1.76,0.68,0.12,0.42,2009,8.3
T,PS2,8.7,2.78,1.44,0.83,0.26,0.25,2003,8.9
T,XOne,8.7,2.72,1.63,0.84,,0.25,2016,5.9
M,PS4,8.6,8.48,2.91,3.97,0.27,1.34,2015,6.8
E,PS,8.6,7.58,3.78,2.17,1.31,0.31,1997,9
E,PS2,8.6,7.2,3.27,2.83,0.08,1.02,2003,8.6
M,PS3,8.6,5.1,1.96,1.42,1.08,0.64,2009,7.3
T,Wii,8.6,4.6,3.04,1.12,0,0.44,2007,6.8
T,PS2,8.6,4.37,2.03,1.79,0.08,0.47,2005,8.6
E10,PSP,8.6,4.23,2.45,1.02,,0.77,2006,8.5
M,PS4,8.6,3.6,0.9,2.06,0.08,0.55,2015,6.9
M,X360,8.6,3.53,2.13,0.93,0.12,0.34,2009,7.4
E,X360,8.6,3.11,2.62,0.21,0.01,0.28,2012,7.1
E,X360,8.6,2.83,2.52,0.09,,0.22,2009,7
T,X360,8.6,2.66,1.78,0.64,,0.25,2008,7.1
E,PS3,8.6,2.59,0.49,1.63,0.04,0.43,2008,6.9
E,PS4,8.5,8.22,1.15,5.77,0.07,1.23,2015,4.4
T,PC,8.5,7.96,1.01,6.46,,0.5,2009,7.8
M,PS4,8.5,7.53,2.84,3.34,0.14,1.22,2014,5.9
M,X360,8.5,7.5,4.88,1.91,,0.71,2008,7.8
M,X360,8.5,7.35,4.47,2.12,0.06,0.69,2011,7.5
M,PS3,8.5,7.21,2.86,2.94,0.35,1.07,2011,7.6
T,PS,8.5,6.27,3.11,2.8,0.02,0.33,1999,8
E,PS2,8.5,4.49,3.63,0.24,0.01,0.61,2006,8.6
M,PS3,8.5,4.37,1.74,1.72,0.14,0.76,2006,7.8
E10,PSP,8.5,3.75,1.4,1.4,0.1,0.86,2007,8
T,PS2,8.5,3.59,2.18,1.02,0.03,0.37,2005,9.1
M,X360,8.5,3.34,1.9,1.14,0.01,0.3,2013,8
